# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
escal,928,636,928,0,0,1,ok,2499081,2874,replay=match
stallcool,928,722,928,0,0,1,ok,2388011,2746,replay=match
queue2spread,928,720,928,0,0,1,ok,1713916,408,replay=match
canonical,944,2994,944,0,0,1,ok,1558569,0,replay=single
cool,944,845,944,0,0,1,ok,4412644,5455,replay=match
escal,944,697,944,0,0,1,ok,2527456,2820,replay=match
stallcool,944,671,944,0,0,1,ok,2645225,3008,replay=match
queue2spread,944,674,944,0,0,1,ok,1720257,495,replay=match
canonical,960,3172,960,0,0,1,ok,1612959,0,replay=single
cool,960,711,960,0,0,1,ok,4126137,4214,replay=match
escal,960,640,960,0,0,1,ok,2883535,3212,replay=match
stallcool,960,652,960,0,0,1,ok,2753098,3193,replay=match
queue2spread,960,596,960,0,0,1,ok,1765046,381,replay=match
canonical,976,3082,976,0,0,1,ok,1654881,0,replay=single
cool,976,803,976,0,0,1,ok,4115811,4878,replay=match
escal,976,658,976,0,0,1,ok,2751658,3092,replay=match
stallcool,976,752,976,0,0,1,ok,2979371,3436,replay=match
queue2spread,976,672,976,0,0,1,ok,1803225,407,replay=match
canonical,992,3100,992,0,0,1,ok,1701899,0,replay=single
cool,992,730,992,0,0,1,ok,3963347,4264,replay=match
escal,992,663,992,0,0,1,ok,3055281,3309,replay=match
stallcool,992,768,992,0,0,1,ok,3137240,3811,replay=match
queue2spread,992,640,992,0,0,1,ok,1864124,523,replay=match
canonical,1008,3182,1008,0,0,1,ok,1728497,0,replay=single
cool,1008,692,1008,0,0,1,ok,3745272,4319,replay=match
escal,1008,644,1008,0,0,1,ok,3007534,3284,replay=match
stallcool,1008,658,1008,0,0,1,ok,2997033,3391,replay=match
queue2spread,1008,598,1008,0,0,1,ok,1890884,351,replay=match
canonical,1024,3172,1024,0,0,1,ok,1747309,0,replay=single
cool,1024,795,1024,0,0,1,ok,4136037,4585,replay=match
escal,1024,707,1024,0,0,1,ok,3037395,3183,replay=match
stallcool,1024,791,1024,0,0,1,ok,2979876,3486,replay=match
queue2spread,1024,603,1024,0,0,1,ok,1942674,378,replay=match
