# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
escal,912,916,912,0,0,1,ok,10528016,4858,replay=match
stallcool,912,898,912,0,0,1,ok,12340446,4981,replay=match
queue2spread,912,865,912,0,0,1,ok,6204978,1661,replay=match
canonical,928,5000,521,0,0,0,ok,3139703,0,replay=single
cool,928,747,928,0,0,1,ok,8673610,4920,replay=match
escal,928,919,928,0,0,1,ok,10971788,5062,replay=match
stallcool,928,946,928,0,0,1,ok,12756155,5340,replay=match
queue2spread,928,982,928,0,0,1,ok,6196768,1475,replay=match
canonical,944,5000,523,0,0,0,ok,3155972,0,replay=single
cool,944,831,944,0,0,1,ok,9121295,5074,replay=match
escal,944,887,944,0,0,1,ok,11346485,5115,replay=match
stallcool,944,988,944,0,0,1,ok,13493395,5427,replay=match
queue2spread,944,906,944,0,0,1,ok,5873343,1518,replay=match
canonical,960,5000,519,0,0,0,ok,3205718,0,replay=single
cool,960,814,960,0,0,1,ok,9452396,5503,replay=match
escal,960,904,960,0,0,1,ok,11001164,5211,replay=match
stallcool,960,862,960,0,0,1,ok,11782181,5316,replay=match
queue2spread,960,926,960,0,0,1,ok,6046744,1612,replay=match
canonical,976,5000,518,0,0,0,ok,3287886,0,replay=single
cool,976,728,976,0,0,1,ok,8737051,4720,replay=match
escal,976,889,976,0,0,1,ok,11809262,5435,replay=match
stallcool,976,1180,976,0,0,1,ok,13275005,5541,replay=match
queue2spread,976,1093,976,0,0,1,ok,5404079,1252,replay=match
canonical,992,5000,519,0,0,0,ok,3387932,0,replay=single
cool,992,798,992,0,0,1,ok,9818887,5448,replay=match
escal,992,891,992,0,0,1,ok,11982442,5179,replay=match
stallcool,992,829,992,0,0,1,ok,12497320,5189,replay=match
queue2spread,992,1051,992,0,0,1,ok,6392442,1671,replay=match
canonical,1008,5000,512,0,0,0,ok,3487842,0,replay=single
cool,1008,838,1008,0,0,1,ok,10404736,5870,replay=match
escal,1008,933,1008,0,0,1,ok,12688612,5669,replay=match
stallcool,1008,1034,1008,0,0,1,ok,14110871,5954,replay=match
queue2spread,1008,976,1008,0,0,1,ok,5251790,1053,replay=match
canonical,1024,5000,505,0,0,0,ok,3587709,0,replay=single
cool,1024,831,1024,0,0,1,ok,10392407,5582,replay=match
escal,1024,1005,1024,0,0,1,ok,13810581,5922,replay=match
stallcool,1024,1065,1024,0,0,1,ok,15482404,5964,replay=match
queue2spread,1024,1211,1024,0,0,1,ok,5619513,1188,replay=match
