# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
queue2spread,832,294,832,0,0,1,ok,455540,101,replay=match
canonical,848,461,848,0,0,1,ok,482987,0,replay=single
cool,848,274,848,0,0,1,ok,1011541,1765,replay=match
escal,848,334,848,0,0,1,ok,510250,904,replay=match
stallcool,848,240,848,0,0,1,ok,467772,167,replay=match
queue2spread,848,294,848,0,0,1,ok,473943,105,replay=match
canonical,864,462,864,0,0,1,ok,488283,0,replay=single
cool,864,261,864,0,0,1,ok,1044225,1733,replay=match
escal,864,280,864,0,0,1,ok,514354,890,replay=match
stallcool,864,240,864,0,0,1,ok,472812,167,replay=match
queue2spread,864,294,864,0,0,1,ok,478975,105,replay=match
canonical,880,487,880,0,0,1,ok,503294,0,replay=single
cool,880,254,880,0,0,1,ok,1079361,1754,replay=match
escal,880,246,880,0,0,1,ok,527017,936,replay=match
stallcool,880,248,880,0,0,1,ok,487105,171,replay=match
queue2spread,880,294,880,0,0,1,ok,493336,105,replay=match
canonical,896,487,896,0,0,1,ok,507599,0,replay=single
cool,896,255,896,0,0,1,ok,1107589,1772,replay=match
escal,896,263,896,0,0,1,ok,526666,894,replay=match
stallcool,896,248,896,0,0,1,ok,491221,171,replay=match
queue2spread,896,294,896,0,0,1,ok,497416,105,replay=match
canonical,912,487,912,0,0,1,ok,520746,0,replay=single
cool,912,262,912,0,0,1,ok,1136582,1810,replay=match
escal,912,254,912,0,0,1,ok,537695,893,replay=match
stallcool,912,254,912,0,0,1,ok,503804,171,replay=match
queue2spread,912,294,912,0,0,1,ok,510093,105,replay=match
canonical,928,487,928,0,0,1,ok,526113,0,replay=single
cool,928,270,928,0,0,1,ok,1170548,1824,replay=match
escal,928,255,928,0,0,1,ok,539373,875,replay=match
stallcool,928,255,928,0,0,1,ok,509019,174,replay=match
queue2spread,928,294,928,0,0,1,ok,514725,105,replay=match
canonical,944,501,944,0,0,1,ok,541291,0,replay=single
cool,944,264,944,0,0,1,ok,1203251,1852,replay=match
escal,944,255,944,0,0,1,ok,554878,927,replay=match
stallcool,944,255,944,0,0,1,ok,523628,178,replay=match
queue2spread,944,304,944,0,0,1,ok,529347,105,replay=match
canonical,960,501,960,0,0,1,ok,546658,0,replay=single
cool,960,277,960,0,0,1,ok,1230873,1868,replay=match
escal,960,355,960,0,0,1,ok,559748,911,replay=match
stallcool,960,255,960,0,0,1,ok,528768,178,replay=match
queue2spread,960,304,960,0,0,1,ok,534433,105,replay=match
canonical,976,501,976,0,0,1,ok,561491,0,replay=single
cool,976,311,976,0,0,1,ok,1262016,1931,replay=match
escal,976,256,976,0,0,1,ok,578092,943,replay=match
stallcool,976,264,976,0,0,1,ok,549243,212,replay=match
queue2spread,976,304,976,0,0,1,ok,551236,82,replay=match
canonical,992,501,992,0,0,1,ok,566858,0,replay=single
cool,992,311,992,0,0,1,ok,1299322,1934,replay=match
escal,992,263,992,0,0,1,ok,580515,992,replay=match
