# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,800,717,800,0,0,1,ok,1658125,2168,replay=match
queue2spread,800,642,800,0,0,1,ok,1314012,373,replay=match
canonical,816,3522,816,0,0,1,ok,1152997,0,replay=single
cool,816,353,816,0,0,1,ok,1804122,2429,replay=match
escal,816,434,816,0,0,1,ok,1446915,1911,replay=match
stallcool,816,447,816,0,0,1,ok,1556500,1968,replay=match
queue2spread,816,614,816,0,0,1,ok,1305004,371,replay=match
canonical,832,3807,832,0,0,1,ok,1203461,0,replay=single
cool,832,422,832,0,0,1,ok,1966102,2571,replay=match
escal,832,440,832,0,0,1,ok,1543228,2034,replay=match
stallcool,832,431,832,0,0,1,ok,1601376,2129,replay=match
queue2spread,832,494,832,0,0,1,ok,1391508,503,replay=match
canonical,848,3834,848,0,0,1,ok,1253232,0,replay=single
cool,848,415,848,0,0,1,ok,1905278,2517,replay=match
escal,848,533,848,0,0,1,ok,1580772,1975,replay=match
stallcool,848,478,848,0,0,1,ok,1742142,2302,replay=match
queue2spread,848,587,848,0,0,1,ok,1419847,471,replay=match
canonical,864,3844,864,0,0,1,ok,1270293,0,replay=single
cool,864,461,864,0,0,1,ok,1992723,2554,replay=match
escal,864,438,864,0,0,1,ok,1613656,2114,replay=match
stallcool,864,533,864,0,0,1,ok,1745651,2205,replay=match
queue2spread,864,645,864,0,0,1,ok,1423458,311,replay=match
canonical,880,3814,880,0,0,1,ok,1275589,0,replay=single
cool,880,438,880,0,0,1,ok,2094145,2637,replay=match
escal,880,447,880,0,0,1,ok,1677925,2151,replay=match
stallcool,880,442,880,0,0,1,ok,1676042,2112,replay=match
queue2spread,880,589,880,0,0,1,ok,1445952,379,replay=match
canonical,896,3868,896,0,0,1,ok,1300182,0,replay=single
cool,896,401,896,0,0,1,ok,2023729,2550,replay=match
escal,896,460,896,0,0,1,ok,1650819,2139,replay=match
stallcool,896,477,896,0,0,1,ok,1778070,2282,replay=match
queue2spread,896,497,896,0,0,1,ok,1470466,449,replay=match
canonical,912,3808,912,0,0,1,ok,1324725,0,replay=single
cool,912,443,912,0,0,1,ok,2087888,2702,replay=match
escal,912,547,912,0,0,1,ok,1752214,2346,replay=match
stallcool,912,580,912,0,0,1,ok,1773644,2090,replay=match
queue2spread,912,525,912,0,0,1,ok,1509953,401,replay=match
canonical,928,3852,928,0,0,1,ok,1330264,0,replay=single
cool,928,436,928,0,0,1,ok,2187287,2674,replay=match
escal,928,496,928,0,0,1,ok,1776267,2334,replay=match
stallcool,928,473,928,0,0,1,ok,1727900,1998,replay=match
queue2spread,928,585,928,0,0,1,ok,1524895,455,replay=match
canonical,944,4150,944,0,0,1,ok,1347645,0,replay=single
cool,944,449,944,0,0,1,ok,2159652,2688,replay=match
escal,944,508,944,0,0,1,ok,2029339,2681,replay=match
stallcool,944,635,944,0,0,1,ok,1832095,2187,replay=match
queue2spread,944,623,944,0,0,1,ok,1530169,536,replay=match
canonical,960,4415,960,0,0,1,ok,1398301,0,replay=single
cool,960,465,960,0,0,1,ok,2252036,2677,replay=match
escal,960,527,960,0,0,1,ok,2213360,2750,replay=match
stallcool,960,472,960,0,0,1,ok,1827285,2265,replay=match
queue2spread,960,663,960,0,0,1,ok,1551402,345,replay=match
canonical,976,4382,976,0,0,1,ok,1448358,0,replay=single
cool,976,456,976,0,0,1,ok,2346912,2773,replay=match
escal,976,485,976,0,0,1,ok,1996775,2531,replay=match
stallcool,976,626,976,0,0,1,ok,2031071,2428,replay=match
queue2spread,976,567,976,0,0,1,ok,1668089,370,replay=match
canonical,992,4337,992,0,0,1,ok,1465586,0,replay=single
cool,992,446,992,0,0,1,ok,2349645,2757,replay=match
escal,992,486,992,0,0,1,ok,1956591,2553,replay=match
stallcool,992,536,992,0,0,1,ok,1891649,2274,replay=match
queue2spread,992,473,992,0,0,1,ok,1714816,499,replay=match
canonical,1008,4383,1008,0,0,1,ok,1470953,0,replay=single
cool,1008,482,1008,0,0,1,ok,2424097,2862,replay=match
escal,1008,579,1008,0,0,1,ok,1959881,2642,replay=match
stallcool,1008,484,1008,0,0,1,ok,1981610,2314,replay=match
queue2spread,1008,553,1008,0,0,1,ok,1684876,382,replay=match
canonical,1024,4450,1024,0,0,1,ok,1495660,0,replay=single
cool,1024,490,1024,0,0,1,ok,2473964,2898,replay=match
escal,1024,585,1024,0,0,1,ok,1971600,2527,replay=match
stallcool,1024,565,1024,0,0,1,ok,1949588,2276,replay=match
queue2spread,1024,576,1024,0,0,1,ok,1749799,548,replay=match
