# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,752,202,752,0,0,1,ok,82720,0,replay=single
cool,752,222,752,0,0,1,ok,509505,1616,replay=match
escal,752,203,752,0,0,1,ok,85007,38,replay=match
stallcool,752,204,752,0,0,1,ok,83836,23,replay=match
queue2spread,752,202,752,0,0,1,ok,83257,5,replay=match
canonical,768,204,768,0,0,1,ok,84480,0,replay=single
cool,768,220,768,0,0,1,ok,516089,1625,replay=match
escal,768,204,768,0,0,1,ok,86747,38,replay=match
stallcool,768,204,768,0,0,1,ok,85596,23,replay=match
queue2spread,768,204,768,0,0,1,ok,85007,5,replay=match
canonical,784,206,784,0,0,1,ok,86240,0,replay=single
cool,784,220,784,0,0,1,ok,542814,1644,replay=match
escal,784,206,784,0,0,1,ok,88487,38,replay=match
stallcool,784,206,784,0,0,1,ok,87356,23,replay=match
queue2spread,784,206,784,0,0,1,ok,86757,5,replay=match
canonical,800,208,800,0,0,1,ok,88000,0,replay=single
cool,800,220,800,0,0,1,ok,574574,1661,replay=match
escal,800,208,800,0,0,1,ok,90227,38,replay=match
stallcool,800,208,800,0,0,1,ok,89116,23,replay=match
queue2spread,800,208,800,0,0,1,ok,88507,5,replay=match
canonical,816,210,816,0,0,1,ok,89760,0,replay=single
cool,816,233,816,0,0,1,ok,608940,1691,replay=match
escal,816,210,816,0,0,1,ok,91967,38,replay=match
stallcool,816,210,816,0,0,1,ok,90876,23,replay=match
queue2spread,816,210,816,0,0,1,ok,90257,5,replay=match
canonical,832,212,832,0,0,1,ok,91520,0,replay=single
cool,832,236,832,0,0,1,ok,628929,1740,replay=match
escal,832,212,832,0,0,1,ok,93707,38,replay=match
stallcool,832,212,832,0,0,1,ok,92633,23,replay=match
queue2spread,832,212,832,0,0,1,ok,92007,5,replay=match
canonical,848,214,848,0,0,1,ok,93280,0,replay=single
cool,848,239,848,0,0,1,ok,656644,1576,replay=match
escal,848,217,848,0,0,1,ok,96347,48,replay=match
stallcool,848,224,848,0,0,1,ok,94316,24,replay=match
queue2spread,848,216,848,0,0,1,ok,93971,6,replay=match
canonical,864,216,864,0,0,1,ok,95040,0,replay=single
cool,864,256,864,0,0,1,ok,691381,1250,replay=match
escal,864,217,864,0,0,1,ok,98085,48,replay=match
stallcool,864,224,864,0,0,1,ok,96076,24,replay=match
