# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
queue2spread,800,5000,331,0,0,0,ok,11829945,862,replay=match
canonical,816,5000,355,0,0,0,ok,8773884,0,replay=single
cool,816,2198,816,0,0,1,ok,107042378,16588,replay=match
escal,816,2112,816,0,0,1,ok,84537754,12593,replay=match
stallcool,816,2139,816,0,0,1,ok,80793461,12133,replay=match
queue2spread,816,5000,793,0,0,0,ok,16201868,2991,replay=match
canonical,832,5000,349,0,0,0,ok,8944255,0,replay=single
cool,832,2219,832,0,0,1,ok,107646949,16677,replay=match
escal,832,2126,832,0,0,1,ok,86952656,12663,replay=match
stallcool,832,2092,832,0,0,1,ok,84075813,12940,replay=match
queue2spread,832,5000,354,0,0,0,ok,12493860,862,replay=match
canonical,848,5000,345,0,0,0,ok,9115479,0,replay=single
cool,848,2164,848,0,0,1,ok,108816330,16807,replay=match
escal,848,2138,848,0,0,1,ok,89396449,12918,replay=match
stallcool,848,2069,848,0,0,1,ok,87138178,13022,replay=match
queue2spread,848,5000,347,0,0,0,ok,12719788,864,replay=match
canonical,864,5000,345,0,0,0,ok,9287041,0,replay=single
cool,864,2256,864,0,0,1,ok,109135404,16768,replay=match
escal,864,2138,864,0,0,1,ok,90966561,13251,replay=match
stallcool,864,2262,864,0,0,1,ok,88636661,13723,replay=match
queue2spread,864,5000,336,0,0,0,ok,12913521,864,replay=match
canonical,880,5000,341,0,0,0,ok,9458731,0,replay=single
cool,880,2236,880,0,0,1,ok,110877244,16959,replay=match
escal,880,2153,880,0,0,1,ok,93226913,13968,replay=match
stallcool,880,2298,880,0,0,1,ok,89894541,14216,replay=match
queue2spread,880,5000,347,0,0,0,ok,13114882,864,replay=match
canonical,896,5000,345,0,0,0,ok,9631025,0,replay=single
cool,896,2206,896,0,0,1,ok,110929814,17110,replay=match
escal,896,2248,896,0,0,1,ok,96301347,14493,replay=match
stallcool,896,2526,896,0,0,1,ok,95328356,15580,replay=match
queue2spread,896,5000,340,0,0,0,ok,13302609,864,replay=match
canonical,912,5000,349,0,0,0,ok,9803975,0,replay=single
cool,912,2318,912,0,0,1,ok,112282241,17284,replay=match
escal,912,2210,912,0,0,1,ok,96860182,14040,replay=match
stallcool,912,2189,912,0,0,1,ok,94254758,13662,replay=match
queue2spread,912,5000,348,0,0,0,ok,13475725,864,replay=match
canonical,928,5000,358,0,0,0,ok,9976245,0,replay=single
cool,928,2319,928,0,0,1,ok,114258053,18102,replay=match
escal,928,2304,928,0,0,1,ok,99325974,14943,replay=match
stallcool,928,2182,928,0,0,1,ok,96181485,14043,replay=match
queue2spread,928,5000,358,0,0,0,ok,15205927,1114,replay=match
canonical,944,5000,322,0,0,0,ok,10146247,0,replay=single
cool,944,2444,944,0,0,1,ok,117184078,18597,replay=match
escal,944,2413,944,0,0,1,ok,103742990,15899,replay=match
stallcool,944,2484,944,0,0,1,ok,102197970,16182,replay=match
queue2spread,944,5000,311,0,0,0,ok,17988807,1633,replay=match
canonical,960,5000,321,0,0,0,ok,10316776,0,replay=single
cool,960,2478,960,0,0,1,ok,117274700,18950,replay=match
escal,960,2418,960,0,0,1,ok,106071592,16328,replay=match
stallcool,960,2620,960,0,0,1,ok,111546370,17579,replay=match
queue2spread,960,5000,313,0,0,0,ok,18398971,1649,replay=match
canonical,976,5000,302,0,0,0,ok,10487352,0,replay=single
cool,976,2461,976,0,0,1,ok,118745934,19046,replay=match
escal,976,2315,976,0,0,1,ok,106684385,16106,replay=match
stallcool,976,2613,976,0,0,1,ok,108198736,17247,replay=match
queue2spread,976,5000,302,0,0,0,ok,14562348,866,replay=match
canonical,992,5000,299,0,0,0,ok,10658698,0,replay=single
cool,992,2577,992,0,0,1,ok,122999485,20201,replay=match
escal,992,2682,992,0,0,1,ok,114976416,18389,replay=match
stallcool,992,3125,992,0,0,1,ok,118002406,20872,replay=match
queue2spread,992,5000,299,0,0,0,ok,14735169,866,replay=match
canonical,1008,5000,299,0,0,0,ok,10830586,0,replay=single
cool,1008,2476,1008,0,0,1,ok,119215009,19021,replay=match
escal,1008,2483,1008,0,0,1,ok,114409392,17798,replay=match
stallcool,1008,2661,1008,0,0,1,ok,113198425,18445,replay=match
queue2spread,1008,5000,299,0,0,0,ok,14907061,866,replay=match
canonical,1024,5000,297,0,0,0,ok,11002509,0,replay=single
cool,1024,2904,1024,0,0,1,ok,130016911,21860,replay=match
escal,1024,2695,1024,0,0,1,ok,118301905,18635,replay=match
stallcool,1024,2756,1024,0,0,1,ok,119897509,19542,replay=match
queue2spread,1024,5000,297,0,0,0,ok,15078984,866,replay=match
