# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,752,1022,752,0,0,1,ok,14797020,4615,replay=match
queue2spread,752,840,752,0,0,1,ok,4507889,5,replay=match
canonical,768,788,768,0,0,1,ok,4524406,0,replay=single
cool,768,812,768,0,0,1,ok,15529531,5652,replay=match
escal,768,779,768,0,0,1,ok,13615786,4217,replay=match
stallcool,768,1022,768,0,0,1,ok,14798780,4615,replay=match
queue2spread,768,840,768,0,0,1,ok,4509219,5,replay=match
canonical,784,802,784,0,0,1,ok,4693182,0,replay=single
cool,784,924,784,0,0,1,ok,17899184,6099,replay=match
escal,784,908,784,0,0,1,ok,13715149,4313,replay=match
stallcool,784,1033,784,0,0,1,ok,15146330,4382,replay=match
queue2spread,784,858,784,0,0,1,ok,4676770,5,replay=match
canonical,800,818,800,0,0,1,ok,4861702,0,replay=single
cool,800,896,800,0,0,1,ok,18075778,6002,replay=match
escal,800,915,800,0,0,1,ok,14903370,4577,replay=match
stallcool,800,901,800,0,0,1,ok,15310900,4588,replay=match
queue2spread,800,876,800,0,0,1,ok,4844002,5,replay=match
canonical,816,834,816,0,0,1,ok,5029959,0,replay=single
cool,816,858,816,0,0,1,ok,18366164,6148,replay=match
escal,816,824,816,0,0,1,ok,15086024,4872,replay=match
stallcool,816,1096,816,0,0,1,ok,17903311,5160,replay=match
queue2spread,816,892,816,0,0,1,ok,5010301,5,replay=match
canonical,832,850,832,0,0,1,ok,5169919,0,replay=single
cool,832,850,832,0,0,1,ok,18792948,5945,replay=match
escal,832,913,832,0,0,1,ok,16158605,5172,replay=match
stallcool,832,1167,832,0,0,1,ok,16625466,5048,replay=match
queue2spread,832,932,832,0,0,1,ok,5147014,5,replay=match
canonical,848,866,848,0,0,1,ok,5253980,0,replay=single
cool,848,915,848,0,0,1,ok,20535430,6226,replay=match
escal,848,1006,848,0,0,1,ok,16151155,5308,replay=match
stallcool,848,1061,848,0,0,1,ok,18413902,5636,replay=match
queue2spread,848,948,848,0,0,1,ok,5234414,6,replay=match
canonical,864,882,864,0,0,1,ok,5281841,0,replay=single
cool,864,1015,864,0,0,1,ok,21545373,6818,replay=match
escal,864,1056,864,0,0,1,ok,16851122,5320,replay=match
stallcool,864,1060,864,0,0,1,ok,18973700,5831,replay=match
queue2spread,864,1038,864,0,0,1,ok,5260246,6,replay=match
canonical,880,883,880,0,0,1,ok,5283604,0,replay=single
cool,880,964,880,0,0,1,ok,21036864,6514,replay=match
escal,880,974,880,0,0,1,ok,19491815,5836,replay=match
stallcool,880,1069,880,0,0,1,ok,17810667,5386,replay=match
queue2spread,880,1036,880,0,0,1,ok,5262159,30,replay=match
canonical,896,883,896,0,0,1,ok,5285364,0,replay=single
cool,896,1008,896,0,0,1,ok,22940625,7025,replay=match
escal,896,1020,896,0,0,1,ok,17126645,5443,replay=match
stallcool,896,1069,896,0,0,1,ok,17811663,5386,replay=match
queue2spread,896,1036,896,0,0,1,ok,5263415,30,replay=match
canonical,912,897,912,0,0,1,ok,5454220,0,replay=single
cool,912,1131,912,0,0,1,ok,29093633,8135,replay=match
escal,912,1147,912,0,0,1,ok,17621867,5743,replay=match
stallcool,912,1080,912,0,0,1,ok,18535404,5756,replay=match
queue2spread,912,1052,912,0,0,1,ok,5430445,6,replay=match
canonical,928,913,928,0,0,1,ok,5622820,0,replay=single
cool,928,1103,928,0,0,1,ok,26549266,7894,replay=match
escal,928,1059,928,0,0,1,ok,19765974,5970,replay=match
stallcool,928,1252,928,0,0,1,ok,26414749,6791,replay=match
queue2spread,928,1070,928,0,0,1,ok,5598216,27,replay=match
canonical,944,929,944,0,0,1,ok,5791163,0,replay=single
cool,944,1135,944,0,0,1,ok,29647426,8194,replay=match
escal,944,1061,944,0,0,1,ok,24107595,6418,replay=match
stallcool,944,1152,944,0,0,1,ok,21597484,6324,replay=match
queue2spread,944,1086,944,0,0,1,ok,5764943,30,replay=match
canonical,960,945,960,0,0,1,ok,5931315,0,replay=single
cool,960,1083,960,0,0,1,ok,26513007,7653,replay=match
escal,960,1143,960,0,0,1,ok,28423513,7040,replay=match
stallcool,960,1254,960,0,0,1,ok,24537204,6743,replay=match
queue2spread,960,1222,960,0,0,1,ok,5902961,44,replay=match
canonical,976,961,976,0,0,1,ok,6015337,0,replay=single
cool,976,991,976,0,0,1,ok,24073526,7179,replay=match
escal,976,1336,976,0,0,1,ok,28341217,7655,replay=match
stallcool,976,1205,976,0,0,1,ok,28086092,7146,replay=match
queue2spread,976,992,976,0,0,1,ok,6040875,14,replay=match
canonical,992,977,992,0,0,1,ok,6043365,0,replay=single
cool,992,1237,992,0,0,1,ok,30280819,8670,replay=match
escal,992,1392,992,0,0,1,ok,28270727,8360,replay=match
stallcool,992,1361,992,0,0,1,ok,27630440,7814,replay=match
queue2spread,992,1450,992,0,0,1,ok,6066544,14,replay=match
canonical,1008,1012,1008,0,0,1,ok,6045128,0,replay=single
cool,1008,1164,1008,0,0,1,ok,27860772,8482,replay=match
escal,1008,1237,1008,0,0,1,ok,27852745,7084,replay=match
stallcool,1008,1414,1008,0,0,1,ok,34200692,8379,replay=match
queue2spread,1008,1436,1008,0,0,1,ok,6067020,14,replay=match
canonical,1024,1006,1024,0,0,1,ok,6046888,0,replay=single
cool,1024,1300,1024,0,0,1,ok,30433169,9201,replay=match
escal,1024,1268,1024,0,0,1,ok,28011310,7562,replay=match
stallcool,1024,1530,1024,0,0,1,ok,42559979,8978,replay=match
queue2spread,1024,1432,1024,0,0,1,ok,6067384,14,replay=match
